code,name,credits,department
CBCO-XXXX,ELECTIVA CBU - COLOMBIA,2,Cbu
CBPC-XXXX,ELECTIVA CBU - PENSAMIENTO CIENTIFICO,2,Cbu
CBCA-XXXX,ELECTIVA CBU - CULTURA ARTES Y HUMANIDADES,2,Cbu
CBU,ELECTIVA CBU - LIBRE,2,Cbu
LENG-2999,REQUISITO LECTURA INGLES,0,Lenguas y Cultura
LENG-3999,REQUISITO DE IDIOMAS,0,Lenguas y Cultura
ERI,ELECTIVA REGULADA OTRA INGENIERIA,3,Electiva
EQBMF,ELECTIVA EN QUIMICA BIOLOGIA MATEMATICAS O FISICA,3,Electiva
ISIS-3XXX,ELECTIVA PROFESIONAL,3,Electiva
DISE-1231B,REIMAGINAR EL ESPACIO,3,Diseno
ISIS-1603B,LAS MIL CARAS DE INTERNET,3,Ingenieria de Sistemas y Computacion
ADMI-1101,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES) (Tipo O),3,Administracion
ADMI-1102,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),3,Administracion
ADMI-1190,SERVICIOS ECOSISTEMICOS (Tipo I),3,Administracion
ADMI-1203,PLANEACION FINANCIERA,3,Administracion
ADMI-1401,TALLER DE HABILIDADES INFORMATICAS,1,Administracion
ADMI-1590,TALLER DE CREATIVIDAD,1,Administracion
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,2,Administracion
ADMI-1603,COMPORTAMIENTO ORGANIZACIONAL,3,Administracion
ADMI-2104,HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (Tipo E),3,Administracion
ADMI-2106,RESPONSABILIDAD SOCIAL (Tipo I),3,Administracion
ADMI-2107,GERENCIA DE RECURSOS HUMANOS,3,Administracion
ADMI-2204,DECISIONES DE INVERSION,3,Administracion
ADMI-2205,FINANZAS 3:ESTRATEGIA,3,Administracion
ADMI-2206,COMPORTAMIENTO DEL CONSUMIDOR,3,Administracion
ADMI-2207,COLOMBIA Y SUS INSTIT.(ADMON),3,Administracion
ADMI-2301,FUNDAMENTOS MERCADEO,3,Administracion
ADMI-2302,INVESTIGACION DE MERCADOS,3,Administracion
ADMI-2403,OPERACIONES Y LOGISTICA,3,Administracion
ADMI-2501,ANALISIS DEL ENTORNO COLOMBIANO,3,Administracion
ADMI-2556,HERRAMIENTAS PARA LA TOMA DE DECISIONES I,3,Administracion
ADMI-2557,HERRAMIENTAS PARA LA TOMA DE DECISIONES II,3,Administracion
ADMI-2605,ORGANIZACIONES,3,Administracion
ADMI-2801,LA GESTION DE LO PUBLICO,3,Administracion
ADMI-3107,CONSULTORIA (Tipo E),3,Administracion
